Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cote d'Ivoire,CIV,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44,41.20781493,43.83992085,46.82372708,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Croatia,HRV,6.644882544,11.55857318,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.8031,72.69726967,67.09619204,72.68877088,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cuba,CUB,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519,57.14840432,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.85551074,68.12721625,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Cyprus,CYP,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.9002054,80.74318897,84.43358252,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Czech Republic,CZE,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.4811987,78.71916143,80.68816754,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Denmark,DNK,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525,97.09936216,97.64426813,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Djibouti,DJI,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,13.13491511,55.68140925,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominica,DMA,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.61966879,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Dominican Republic,DOM,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,63.87086474,67.57123468,74.82428986,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ecuador,ECU,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,57.27224368,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Egypt, Arab Rep.",EGY,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433809,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,El Salvador,SLV,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305,33.8207289,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Equatorial Guinea,GNQ,0.132354665,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.31999999,23.77999997,26.23999996,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eritrea,ERI,0.136711941,0.157815289,0.227090138,..,..,..,..,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872,1.30890698,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Estonia,EST,28.57695381,31.52748977,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4097035,87.24023275,88.10245687,89.35700777,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Eswatini,SWZ,0.926191777,1.28159005,1.816203807,2.437073851,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,26.17500573,25.64304231,28.57352278,47,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ethiopia,ETH,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386,18.61805145,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Faroe Islands,FRO,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3,94.2,95.10868167,97.58195894,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fiji,FJI,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4,42.5,46.50697831,49.96637301,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Finland,FIN,37.24846174,43.10536335,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275,86.42213333,87.70364996,87.46892907,88.88996,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,France,FRA,14.30792394,26.32590355,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,78.01,79.26981132,80.50245972,82.04353422,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,French Polynesia,PYF,6.357063545,6.251588946,8.200216486,14.12429379,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49,49,52.87663059,56.8,60.68,64.56020975,68.44041949,72.70389531,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gabon,GAB,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,7.5,9.5,13,18,24,30.53803344,38.07120929,45.78453653,48.05227375,62,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Gambia, The",GMB,0.921794919,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,15.56,16.5,18.5,19.83645444,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Georgia,GEO,0.484746299,0.992344436,1.58787563,2.558816481,3.886221354,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44,47.56975964,58.45928961,59.7055046,63.96862952,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Germany,DEU,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.39550077,89.73912104,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ghana,GHA,0.153615298,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743,25,34.66600065,39,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Gibraltar,GIB,19.13163812,21.17110944,23.67023975,28.32577979,32.88608261,39.07013088,45.29864751,51.61,58,65.07,65,65,65.017,..,..,..,94.44447158,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greece,GRC,9.138837308,10.93502581,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.835,69.08791547,70.54943345,72.9520942,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Greenland,GRL,31.74781123,35.46413689,44.15478903,54.53425983,56.09901476,57.7034045,59.36168727,61.07,62.82,62.83,63,64,64.8960101,65.8,66.7,67.60044348,68.50087368,69.48246178,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Grenada,GRD,4.063907991,5.128103982,14.75884055,18.64518218,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,51.6,53.81,55.85640782,59.07173536,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guam,GUM,16.11312704,25.38022753,31.19229426,33.71668179,36.16178784,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27,73.13999995,77.00999989,80.50546556,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guatemala,GTM,0.712332905,1.738201782,3.39174627,4.548854908,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.80594156,34.50932609,65,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea,GIN,0.095424924,0.175541868,0.402022749,0.450960371,0.508819332,0.542254181,0.637492123,0.780025279,0.92,0.94,1,2,3.1,4.5,6.4,8.2,9.8,18,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guinea-Bissau,GNB,0.230103171,0.299569145,1.022993234,1.354197478,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32,3.540706917,3.761413832,3.930509152,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Guyana,GUY,6.611491566,13.2069865,..,..,..,..,..,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,37.32583679,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Haiti,HTI,0.231270715,0.340832326,0.893432988,1.647358346,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,12.1977,12.23260161,12.32610358,32.47362713,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Honduras,HND,1.203855999,1.415281931,2.597402597,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08,27.1,29.5,31.7,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Hong Kong SAR, China",HKG,27.82776068,38.67140323,43.08238303,52.20004335,56.39988039,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.86627043,84.94835296,87.47941467,89.41594465,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Hungary,HUN,6.999676351,14.5285543,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,75.65319745,72.8347,79.25941213,76.75054712,76.07436064,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iceland,ISL,44.47053382,49.39299537,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,98.2400163,98.26,99.01095399,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,India,IND,0.52753245,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,21,17,22,34.45,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Indonesia,IDN,0.925563864,2.018613859,2.134135733,2.38701978,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,12.28,14.52,14.94,17.14,21.97606771,25.4473537,32.2924419,39.78748305,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Iran, Islamic Rep.",IRN,0.93419002,1.484221332,4.626175115,6.933721953,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.35,45.33497588,53.22677167,64.04397362,70.00455222,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Iraq,IRQ,..,0.1,0.5,0.6,0.9,0.9,0.952344244,0.93,1,1.06,2.5,5,7.1,9.2,13.21,58,21.23,49.35999889,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Ireland,IRL,17.85046724,23.13881219,25.85,34.31,36.99,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,83.49172234,83.49479167,85.01113212,84.11400706,84.52230206,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Israel,ISR,20.87379,17.37862386,17.76459906,19.59339366,22.77048553,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Italy,ITA,23.11087424,27.22211698,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jamaica,JAM,3.115778027,3.863020387,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.43861341,33.79,37.1,40.4027351,42.22122119,44.36685637,55.07206705,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Japan,JPN,29.99074036,38.53206086,46.59420112,48.43526589,62.39392963,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,84.58806583,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Jordan,JOR,2.623275422,4.705719581,6.025532412,8.466005016,11.65874137,12.93285205,13.86710879,20,23,26,27.2,34.9,37,41.4,46.2,60.11438269,62.30219257,66.79031443,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kazakhstan,KAZ,0.668594403,1.006124211,1.674770995,2.000414753,2.650394657,2.961707492,3.268369051,4.02,11,18.2,31.6,50.6,61.90662747,63.30422443,66,70.8299336,74.58772647,76.42674823,78.90391906,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kenya,KEN,0.318059714,0.619782266,1.207773885,2.941902861,3.023528042,3.101897702,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.58785485,16.6,17.82710021,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kiribati,KIR,1.785225474,2.337458948,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.74679768,11.5,12.25,12.99748389,13.7,14.58181818,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Dem. People’s Rep.",PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Korea, Rep.",KOR,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.75912015,84.07,84.77,87.55682649,89.9,92.84302568,95.06942188,95.8982922,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.89359681,89.44303197,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kuwait,KWT,6.731395768,8.551792434,10.24896793,22.40293838,22.92711204,25.92610837,28.79119795,34.8,42,50.8,61.4,65.76907069,70.45,75.46,78.7,72,78.36738376,100,99.59999254,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kyrgyz Republic,KGZ,1.041401145,3.002941327,2.99926518,3.908766268,5.090385307,10.53380134,12.306907,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.24704278,37,38,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lao PDR,LAO,0.111044032,0.181664461,0.267899241,0.333912466,0.36143449,0.85035749,1.169893428,1.64,3.55,6,7,9,10.74767619,12.5,14.26,18.2,21.87,25.51043508,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latvia,LVA,6.319062083,7.219345808,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.74995456,73.11994377,75.2344,75.83,79.2006,79.84209778,80.114077,83.57717486,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lebanon,LBN,7.952743736,6.783219775,7,8,9,10.14,15,18.74,22.53,30.14,43.68,52,61.24978572,70.5,73,74,76.11,78.18077489,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lesotho,LSO,0.21180607,0.261150063,1.083943137,1.53249659,2.175524339,2.580245484,2.979708187,3.44543126,3.58,3.72,3.86,7,10,15,22,25,27.36,29,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liberia,LBR,0.017702706,0.033812227,0.032713307,0.031868935,0.031011185,..,..,0.551376581,0.53,2,2.3,2.5,2.6,3.2,5.41,33,7.319106411,7.984479722,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Libya,LBY,0.187042622,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,14,..,16.5,17.76,19.01607978,20.27215956,21.75892062,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Liechtenstein,LIE,36.51522989,45.11685265,59.47071067,58.80969184,64.00744814,63.37135615,64.21416136,65.08021844,70,75,80,85,89.4077,93.8,95.21,96.6411951,98.09390389,98.1,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lithuania,LTU,6.427067495,7.179356994,17.69,25.91,31.23,36.22,43.9,49.9,55.22,59.76,62.12,63.6399774,67.22998933,68.4529,72.13,71.378,74.37664556,77.61525651,79.72258277,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Luxembourg,LUX,22.88732797,36.16342251,39.84,54.55,65.88,70,72.51,78.92,82.23,87.31,90.62,90.02985856,91.94992374,93.7765,94.67,96.38,98.13669867,97.36296032,97.06129871,..
